header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
52,1,0.85,-3.47606719106776e-12,-1.66413713316770e-10,0.3483559626,5.71859215511181e-11,1.92805712812852e-06,1,-2.73066811116037e-09
53,1,0.8666666667,-7.81828361225019e-12,-3.74383614361863e-10,0.3566922519,5.98144996793913e-11,1.88257533776531e-06,1,-2.85862770439647e-09
54,1,0.8833333333,-1.18448748679046e-11,-5.67270675895884e-10,0.3649455834,6.13869303372633e-11,1.83650332550952e-06,1,-2.93607626183934e-09
55,1,0.9,-1.55480251960736e-11,-7.44689260888880e-10,0.3731117474,6.19519176496799e-11,1.78994158850045e-06,1,-2.96529108604447e-09
56,1,0.9166666667,-1.89252175827924e-11,-9.06507434253249e-10,0.3811867653,6.15727424317660e-11,1.74298617089727e-06,1,-2.94924965564962e-09
57,1,0.9333333333,-2.19788775324173e-11,-1.05283018204503e-09,0.3891668843,6.03251934069174e-11,1.69572873157372e-06,1,-2.89153160767046e-09
58,1,0.95,-2.47159556834733e-11,-1.18397968416766e-09,0.3970485727,5.82954001058655e-11,1.64825661604945e-06,1,-2.79621579627060e-09
59,1,0.9666666667,-2.71474606659290e-11,-1.30047318203285e-09,0.4048285149,5.55776069211430e-11,1.60065293192683e-06,1,-2.66777460806269e-09
60,1,0.9833333333,-2.92879537534374e-11,-1.40299898995251e-09,0.4125036062,5.22719351762750e-11,1.55299662784605e-06,1,-2.51096772379710e-09
61,1,1,-3.11550167977714e-11,-1.49239119598089e-09,0.4200709477,4.84821864760071e-11,1.50536257584909e-06,1,-2.33073731523902e-09
62,1,1.0166666667,-3.27687046231838e-11,-1.56960358550319e-09,0.4275278419,4.43137165247780e-11,1.45782165663164e-06,1,-2.13210651044142e-09
63,1,1.0333333333,-3.41509926080410e-11,-1.63568329989367e-09,0.4348717867,3.98714099298434e-11,1.41044084753203e-06,1,-1.92008289094087e-09
64,1,1.05,-3.53252295872976e-11,-1.69174471357868e-09,0.4421004715,3.52578019261851e-11,1.36328331310889e-06,1,-1.69956838908718e-09
65,1,1.0666666667,-3.63156054170705e-11,-1.73894397757997e-09,0.4492117714,3.05713620364056e-11,1.31640849785268e-06,1,-1.47527687905911e-09
66,1,1.0833333333,-3.71466416777803e-11,-1.77845463660748e-09,0.4562037425,2.59049559999079e-11,1.26987222093446e-06,1,-1.25166053888307e-09
